DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
20.707,  3.094,  -472.214,  5.910,  29.387,  47.717,  1.001,  0.573
19.597,  2.929,  -469.436,  5.940,  27.611,  45.029,  0.943,  0.539
18.648,  2.810,  -466.245,  5.960,  26.160,  42.680,  0.902,  0.510
17.905,  2.680,  -463.267,  5.984,  24.523,  40.251,  0.858,  0.483
17.081,  2.570,  -460.234,  6.006,  23.272,  38.587,  0.815,  0.453
16.404,  2.555,  -458.041,  6.023,  22.158,  37.390,  0.782,  0.424
15.962,  2.525,  -456.416,  6.028,  21.491,  37.270,  0.759,  0.409
15.597,  2.493,  -454.854,  6.041,  20.811,  36.936,  0.730,  0.386
15.329,  2.449,  -453.281,  6.047,  20.154,  35.855,  0.719,  0.379
15.029,  2.474,  -450.884,  6.061,  19.367,  33.994,  0.707,  0.368
14.591,  2.547,  -448.473,  6.078,  18.322,  32.122,  0.685,  0.356
14.117,  2.423,  -445.101,  6.102,  16.895,  28.656,  0.675,  0.344
13.408,  2.348,  -441.627,  6.143,  15.175,  24.951,  0.649,  0.322
12.580,  2.288,  -437.954,  6.200,  13.136,  20.643,  0.629,  0.306
11.761,  2.299,  -434.375,  6.257,  11.140,  16.999,  0.604,  0.286
10.762,  2.220,  -431.186,  6.341,  9.230,  13.486,  0.580,  0.271
9.681,  2.208,  -428.360,  6.441,  7.263,  10.166,  0.553,  0.256
8.617,  2.063,  -425.621,  6.554,  5.533,  7.498,  0.530,  0.240
7.452,  2.116,  -423.658,  6.703,  3.994,  5.255,  0.515,  0.230
6.361,  2.027,  -421.856,  6.890,  2.756,  3.593,  0.486,  0.217
5.277,  2.007,  -420.555,  7.140,  1.750,  2.260,  0.470,  0.205
4.317,  1.908,  -419.821,  7.457,  1.063,  1.374,  0.456,  0.197
3.719,  1.969,  -419.434,  7.725,  0.687,  0.885,  0.439,  0.188
3.477,  1.864,  -419.491,  7.839,  0.505,  0.635,  0.427,  0.183
3.247,  1.823,  -419.248,  7.917,  0.376,  0.458,  0.411,  0.176
3.100,  1.785,  -419.259,  7.990,  0.285,  0.339,  0.409,  0.173
2.932,  1.784,  -419.226,  8.052,  0.210,  0.244,  0.399,  0.168
2.808,  1.730,  -419.281,  8.101,  0.161,  0.185,  0.383,  0.164
2.697,  1.686,  -419.461,  8.146,  0.120,  0.134,  0.378,  0.160
2.618,  1.725,  -419.471,  8.184,  0.092,  0.101,  0.372,  0.155
2.542,  1.695,  -419.466,  8.212,  0.068,  0.074,  0.363,  0.152
2.487,  1.615,  -419.547,  8.245,  0.053,  0.058,  0.358,  0.150
2.443,  1.670,  -419.939,  8.272,  0.041,  0.043,  0.353,  0.146
2.429,  1.552,  -419.747,  8.278,  0.032,  0.033,  0.348,  0.143
2.389,  1.548,  -419.951,  8.298,  0.025,  0.025,  0.341,  0.140
2.327,  1.564,  -419.965,  8.316,  0.020,  0.020,  0.338,  0.137
2.320,  1.541,  -420.179,  8.330,  0.016,  0.016,  0.332,  0.135
2.298,  1.493,  -420.418,  8.339,  0.013,  0.013,  0.327,  0.132
2.280,  1.489,  -420.568,  8.347,  0.012,  0.011,  0.327,  0.130
2.254,  1.475,  -420.710,  8.357,  0.011,  0.009,  0.324,  0.129
2.243,  1.474,  -420.674,  8.362,  0.009,  0.008,  0.313,  0.124
2.237,  1.449,  -421.155,  8.368,  0.008,  0.007,  0.318,  0.124
2.262,  1.420,  -421.358,  8.374,  0.007,  0.006,  0.301,  0.121
2.211,  1.365,  -421.687,  8.384,  0.007,  0.005,  0.299,  0.121
2.242,  1.408,  -421.643,  8.387,  0.007,  0.005,  0.287,  0.116
2.198,  1.360,  -421.939,  8.391,  0.005,  0.004,  0.283,  0.114
2.202,  1.367,  -422.444,  8.389,  0.006,  0.004,  0.281,  0.114
2.239,  1.334,  -422.016,  8.394,  0.006,  0.004,  0.267,  0.109
2.201,  1.337,  -422.744,  8.398,  0.006,  0.004,  0.263,  0.108
2.236,  1.295,  -423.023,  8.405,  0.005,  0.003,  0.264,  0.107
2.177,  1.350,  -423.118,  8.410,  0.006,  0.003,  0.256,  0.106
