SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
1797.956	1085.549	-1116.288	1.753	44.812	94.525	0.000	-0.000
1798.344	1094.807	-1109.647	1.758	43.842	94.058	0.000	-0.000
1766.915	1070.401	-1102.860	1.778	42.689	92.609	0.000	-0.000
1758.586	1067.593	-1102.573	1.785	41.785	91.631	0.000	-0.000
1747.049	1061.123	-1095.416	1.793	40.768	90.255	0.000	-0.000
1723.906	1044.328	-1086.156	1.800	39.863	89.898	0.000	-0.000
1701.694	1030.023	-1079.718	1.810	39.273	90.159	0.000	-0.000
1673.706	1002.336	-1077.317	1.823	38.729	90.502	0.000	-0.000
1664.152	1000.509	-1071.456	1.831	38.102	90.779	0.000	-0.000
1640.282	981.340	-1064.088	1.844	37.449	89.442	0.000	-0.000
1634.605	982.521	-1059.831	1.853	36.940	90.288	0.000	-0.000
1627.184	981.973	-1055.623	1.860	36.498	90.613	0.000	-0.000
1593.666	952.291	-1049.373	1.870	36.019	90.999	0.000	-0.000
1578.040	941.507	-1047.498	1.878	35.456	89.716	0.000	-0.000
1572.224	942.763	-1038.555	1.887	35.136	89.717	0.000	-0.000
1561.235	935.552	-1033.845	1.895	34.751	89.945	0.000	-0.000
1545.469	923.278	-1029.598	1.902	34.487	89.867	0.000	-0.000
1540.006	921.816	-1026.961	1.903	34.279	90.739	0.000	-0.000
1530.883	917.616	-1017.414	1.920	33.855	90.506	0.000	-0.000
1502.378	896.204	-1014.186	1.922	33.690	90.798	0.000	-0.000
1513.201	914.331	-1007.313	1.931	33.350	89.950	0.000	-0.000
1495.371	900.524	-1002.413	1.938	32.940	89.622	0.000	-0.000
1479.287	894.636	-992.140	1.941	32.975	90.290	0.000	-0.000
1487.499	909.166	-993.501	1.945	32.807	90.817	0.000	-0.000
1469.976	899.936	-981.936	1.951	32.477	90.141	0.000	-0.000
1453.419	885.398	-979.092	1.955	32.308	90.263	0.000	-0.000
1449.150	885.734	-970.616	1.956	32.172	90.738	0.000	-0.000
1443.626	884.401	-966.805	1.954	32.195	91.255	0.000	-0.000
1432.777	878.770	-960.403	1.961	32.043	90.825	0.000	-0.000
1433.952	889.760	-955.150	1.966	31.904	90.952	0.000	-0.000
1425.279	882.867	-951.821	1.967	31.897	91.462	0.000	-0.000
1420.260	887.575	-942.955	1.967	31.769	91.219	0.000	-0.000
1419.306	891.203	-940.344	1.965	31.679	91.675	0.000	-0.000
1411.707	887.116	-935.250	1.968	31.445	89.729	0.000	-0.000
1400.600	879.531	-931.504	1.968	31.268	89.555	0.000	-0.000
1389.491	872.141	-924.757	1.972	31.147	89.755	0.000	-0.000
1383.378	874.830	-917.461	1.972	31.030	89.077	0.000	-0.000
1378.863	872.334	-915.921	1.972	30.968	89.117	0.000	-0.000
1378.887	880.558	-906.151	1.974	30.754	88.145	0.000	-0.000
1372.647	882.601	-900.058	1.979	30.666	88.015	0.000	-0.000
1356.353	872.312	-893.316	1.981	30.390	86.862	0.000	-0.000
1351.235	874.330	-884.593	1.983	30.285	86.806	0.000	-0.000
1345.742	875.147	-877.968	1.988	30.214	86.151	0.000	-0.000
1346.764	880.977	-873.605	1.994	29.941	84.751	0.000	-0.000
1344.057	886.678	-865.494	1.997	29.821	84.077	0.000	-0.000
1339.152	892.506	-854.744	1.999	29.613	84.128	0.000	-0.000
1342.189	904.132	-849.606	2.009	29.242	82.320	0.000	-0.000
1329.018	895.018	-841.436	2.011	29.158	81.668	0.000	-0.000
1322.612	896.254	-834.531	2.016	28.939	81.344	0.000	-0.000
1322.722	905.907	-828.464	2.023	28.523	79.257	0.000	-0.000
1315.375	902.688	-820.331	2.027	28.310	78.859	0.000	-0.000
1313.701	912.254	-809.907	2.035	28.089	78.178	0.000	-0.000
1303.227	906.458	-804.636	2.043	27.885	77.278	0.000	-0.000
1290.181	902.233	-795.970	2.051	27.570	76.240	0.000	-0.000
1295.482	913.936	-789.172	2.063	27.592	76.949	0.000	-0.000
1292.543	919.226	-782.933	2.072	27.181	74.986	0.000	-0.000
1294.587	925.374	-777.931	2.080	27.010	74.755	0.000	-0.000
1282.329	920.326	-768.366	2.085	26.776	74.001	0.000	-0.000
1272.942	920.664	-761.098	2.097	26.622	73.740	0.000	-0.000
1268.077	918.910	-756.887	2.103	26.324	72.814	0.000	-0.000
1263.997	920.481	-751.586	2.117	26.179	72.396	0.000	-0.000
1274.283	941.423	-745.129	2.134	25.863	71.173	0.000	-0.000
1264.299	935.457	-735.461	2.146	25.609	70.472	0.000	-0.000
1240.426	919.609	-726.997	2.163	25.529	70.669	0.000	-0.000
1250.442	934.275	-721.872	2.169	25.241	69.354	0.000	-0.000
1247.424	936.702	-718.664	2.181	25.106	69.138	0.000	-0.000
1242.941	937.213	-711.332	2.199	24.814	67.978	0.000	-0.000
1234.920	936.633	-703.899	2.216	24.748	68.100	0.000	-0.000
1253.232	961.892	-702.117	2.221	24.510	67.459	0.000	-0.000
1243.895	958.789	-693.946	2.245	24.446	66.945	0.000	-0.000
1223.466	939.512	-692.903	2.254	24.114	65.790	0.000	-0.000
1230.925	953.401	-685.606	2.264	24.024	65.496	0.000	-0.000
1231.931	960.175	-682.740	2.273	23.929	65.296	0.000	-0.000
1226.478	953.130	-680.304	2.281	23.873	64.971	0.000	-0.000
1229.768	962.516	-676.477	2.287	23.741	64.365	0.000	-0.000
1223.354	957.519	-673.365	2.301	23.636	63.876	0.000	-0.000
1222.847	960.508	-672.221	2.295	23.569	63.447	0.000	-0.000
1224.927	962.161	-670.457	2.294	23.434	62.790	0.000	-0.000
1214.871	957.447	-665.275	2.303	23.329	62.463	0.000	-0.000
1211.085	953.897	-664.919	2.312	23.266	62.083	0.000	-0.000
1216.392	962.389	-663.798	2.310	23.233	61.623	0.000	-0.000
1209.546	957.204	-661.130	2.322	23.027	60.675	0.000	-0.000
1192.953	942.988	-657.569	2.318	22.940	60.363	0.000	-0.000
1196.968	951.515	-653.335	2.330	22.751	59.461	0.000	-0.000
1203.011	956.989	-654.726	2.338	22.546	58.758	0.000	-0.000
1208.685	965.889	-652.592	2.331	22.441	57.976	0.000	-0.000
1208.270	963.584	-651.390	2.342	22.181	57.048	0.000	-0.000
1199.717	958.212	-648.903	2.344	22.134	56.634	0.000	-0.000
1189.683	949.378	-646.307	2.347	21.814	55.394	0.000	-0.000
1182.147	944.116	-647.607	2.361	21.658	54.708	0.000	-0.000
1185.132	950.727	-642.757	2.363	21.459	53.912	0.000	-0.000
1186.542	952.478	-641.608	2.376	21.300	53.275	0.000	-0.000
1177.732	945.901	-642.051	2.382	21.074	52.319	0.000	-0.000
1189.088	960.832	-636.964	2.389	20.809	51.157	0.000	-0.000
1184.170	955.361	-637.706	2.392	20.588	50.291	0.000	-0.000
1161.595	932.900	-635.836	2.398	20.382	49.581	0.000	-0.000
1179.633	952.825	-636.176	2.407	20.156	48.771	0.000	-0.000
1172.572	947.484	-632.427	2.409	19.958	48.009	0.000	-0.000
1163.361	942.723	-633.234	2.422	19.730	47.124	0.000	-0.000
1167.682	947.776	-632.044	2.425	19.504	46.293	0.000	-0.000
1154.727	932.319	-628.851	2.436	19.296	45.526	0.000	-0.000
1158.596	935.123	-629.766	2.443	19.088	44.689	0.000	-0.000
1153.735	932.058	-628.150	2.452	18.792	43.762	0.000	-0.000
1145.715	923.927	-627.955	2.466	18.654	43.182	0.000	-0.000
1149.973	931.242	-625.994	2.473	18.332	42.110	0.000	-0.000
1156.837	944.127	-626.067	2.479	18.143	41.381	0.000	-0.000
1145.575	932.476	-621.001	2.492	17.846	40.492	0.000	-0.000
1139.897	926.647	-621.509	2.507	17.634	39.746	0.000	-0.000
1133.293	920.784	-619.776	2.518	17.403	38.928	0.000	-0.000
1134.784	922.327	-617.385	2.525	17.194	38.287	0.000	-0.000
1128.654	915.039	-621.123	2.536	16.867	37.236	0.000	-0.000
1123.935	915.597	-617.469	2.540	16.709	36.593	0.000	-0.000
1117.185	906.756	-618.042	2.552	16.481	36.052	0.000	-0.000
1109.566	898.244	-616.832	2.568	16.266	35.254	0.000	-0.000
1115.644	906.633	-616.314	2.580	16.059	34.561	0.000	-0.000
1118.375	910.707	-614.723	2.591	15.726	33.493	0.000	-0.000
1117.791	912.843	-616.114	2.603	15.603	33.199	0.000	-0.000
1102.944	900.061	-611.667	2.617	15.319	32.317	0.000	-0.000
1103.256	897.607	-611.545	2.622	15.121	31.723	0.000	-0.000
1096.170	888.002	-613.591	2.640	14.872	31.028	0.000	-0.000
1107.423	903.061	-612.675	2.653	14.677	30.354	0.000	-0.000
1102.760	903.854	-610.011	2.663	14.420	29.631	0.000	-0.000
1093.180	890.785	-609.343	2.675	14.198	28.934	0.000	-0.000
1086.905	888.498	-611.376	2.690	13.993	28.330	0.000	-0.000
1095.621	894.142	-609.946	2.697	13.784	27.823	0.000	-0.000
1085.392	886.459	-610.751	2.714	13.549	27.121	0.000	-0.000
1080.323	879.964	-606.921	2.734	13.357	26.600	0.000	-0.000
1086.415	886.581	-609.600	2.742	13.117	25.931	0.000	-0.000
1085.231	888.377	-607.513	2.758	12.871	25.234	0.000	-0.000
1061.190	861.319	-608.331	2.771	12.660	24.682	0.000	-0.000
1065.581	865.816	-606.513	2.784	12.453	24.098	0.000	-0.000
1067.427	866.775	-605.928	2.802	12.310	23.656	0.000	-0.000
1069.046	871.021	-606.472	2.811	12.127	23.194	0.000	-0.000
1066.006	873.095	-604.818	2.833	11.866	22.528	0.000	-0.000
1059.949	864.741	-604.983	2.848	11.684	22.082	0.000	-0.000
1055.316	859.470	-604.483	2.867	11.497	21.527	0.000	-0.000
1052.779	857.319	-603.391	2.879	11.325	21.123	0.000	-0.000
1050.770	855.613	-603.886	2.895	11.155	20.635	0.000	-0.000
1044.158	846.869	-603.565	2.911	10.919	20.028	0.000	-0.000
1028.177	832.488	-602.492	2.929	10.745	19.593	0.000	-0.000
1027.753	829.900	-603.105	2.946	10.561	19.209	0.000	-0.000
1044.375	848.463	-602.839	2.959	10.386	18.759	0.000	-0.000
1030.379	837.848	-601.993	2.976	10.195	18.288	0.000	-0.000
1031.659	837.749	-601.214	2.995	10.017	17.863	0.000	-0.000
1028.285	839.175	-602.895	3.019	9.874	17.459	0.000	-0.000
1022.796	831.080	-603.529	3.026	9.676	17.041	0.000	-0.000
1016.899	823.449	-601.053	3.047	9.539	16.656	0.000	-0.000
1015.607	822.881	-604.010	3.061	9.382	16.313	0.000	-0.000
1008.401	812.564	-603.410	3.091	9.191	15.891	0.000	-0.000
998.475	802.914	-601.211	3.103	9.052	15.593	0.000	-0.000
999.380	805.944	-603.164	3.118	8.858	15.119	0.000	-0.000
998.817	803.786	-600.286	3.139	8.738	14.854	0.000	-0.000
1010.989	818.803	-599.342	3.161	8.549	14.465	0.000	-0.000
999.596	806.100	-600.977	3.178	8.391	14.061	0.000	-0.000
997.579	804.836	-601.219	3.188	8.268	13.779	0.000	-0.000
988.728	791.797	-604.776	3.211	8.123	13.441	0.000	-0.000
988.604	796.361	-602.063	3.236	7.968	13.128	0.000	-0.000
987.211	793.438	-599.184	3.256	7.869	12.865	0.000	-0.000
984.913	795.346	-599.725	3.275	7.682	12.524	0.000	-0.000
974.927	783.985	-599.018	3.288	7.549	12.203	0.000	-0.000
982.532	792.899	-599.792	3.319	7.432	11.941	0.000	-0.000
970.196	779.164	-599.583	3.336	7.295	11.680	0.000	-0.000
965.363	770.177	-601.242	3.353	7.141	11.350	0.000	-0.000
964.916	773.339	-599.545	3.373	7.063	11.169	0.000	-0.000
971.204	777.485	-600.413	3.399	6.918	10.879	0.000	-0.000
969.340	775.608	-599.428	3.416	6.812	10.646	0.000	-0.000
966.752	779.647	-598.663	3.435	6.666	10.342	0.000	-0.000
958.361	765.282	-600.337	3.466	6.540	10.135	0.000	-0.000
954.209	762.323	-600.309	3.479	6.441	9.896	0.000	-0.000
959.665	770.006	-596.371	3.504	6.355	9.723	0.000	-0.000
955.834	761.948	-599.675	3.527	6.231	9.466	0.000	-0.000
958.841	766.675	-599.292	3.536	6.145	9.331	0.000	-0.000
932.366	740.139	-598.238	3.572	5.999	9.001	0.000	-0.000
943.449	752.361	-598.805	3.589	5.879	8.779	0.000	-0.000
938.185	740.995	-601.157	3.606	5.772	8.610	0.000	-0.000
944.819	752.459	-601.981	3.624	5.692	8.473	0.000	-0.000
940.288	746.888	-600.096	3.654	5.621	8.267	0.000	-0.000
938.442	743.739	-601.195	3.680	5.532	8.093	0.000	-0.000
932.871	737.829	-600.849	3.696	5.429	7.897	0.000	-0.000
941.061	749.824	-601.646	3.717	5.340	7.714	0.000	-0.000
937.017	748.378	-598.743	3.741	5.245	7.544	0.000	-0.000
925.247	731.537	-601.869	3.763	5.147	7.392	0.000	-0.000
929.615	738.460	-601.140	3.787	5.076	7.276	0.000	-0.000
926.017	736.403	-602.344	3.812	4.981	7.074	0.000	-0.000
917.072	722.093	-599.533	3.831	4.902	6.916	0.000	-0.000
914.213	720.352	-597.136	3.857	4.828	6.769	0.000	-0.000
913.719	721.624	-602.555	3.886	4.761	6.648	0.000	-0.000
909.672	714.098	-602.136	3.900	4.678	6.504	0.000	-0.000
915.173	720.736	-600.362	3.920	4.604	6.377	0.000	-0.000
907.165	713.852	-600.454	3.942	4.529	6.227	0.000	-0.000
904.037	707.563	-602.121	3.970	4.457	6.098	0.000	-0.000
906.932	714.340	-600.726	3.986	4.366	5.951	0.000	-0.000
904.584	711.638	-600.239	4.010	4.317	5.839	0.000	-0.000
898.418	706.307	-602.986	4.044	4.253	5.743	0.000	-0.000
896.771	702.555	-602.956	4.064	4.186	5.628	0.000	-0.000
895.277	699.445	-602.106	4.080	4.111	5.517	0.000	-0.000
902.542	708.400	-601.461	4.109	4.050	5.395	0.000	-0.000
889.893	694.341	-602.665	4.134	3.987	5.292	0.000	-0.000
892.545	697.618	-601.722	4.152	3.937	5.233	0.000	-0.000
888.883	696.638	-602.623	4.173	3.855	5.057	0.000	-0.000
891.784	700.139	-603.542	4.201	3.822	4.980	0.000	-0.000
887.471	693.213	-602.444	4.214	3.766	4.889	0.000	-0.000
886.829	691.417	-604.132	4.240	3.720	4.841	0.000	-0.000
871.802	674.355	-604.461	4.264	3.681	4.753	0.000	-0.000
