(544s) phi_loss: -1200.737,  theta_loss: 1539.677,  ess: 3.353
(548s) phi_loss: -1199.350,  theta_loss: 1537.312,  ess: 3.357
(518s) phi_loss: -1197.601,  theta_loss: 1537.768,  ess: 3.361
(533s) phi_loss: -1195.811,  theta_loss: 1535.960,  ess: 3.365
(518s) phi_loss: -1194.619,  theta_loss: 1535.642,  ess: 3.366
(524s) phi_loss: -1194.490,  theta_loss: 1546.421,  ess: 3.369
(532s) phi_loss: -1192.450,  theta_loss: 1540.651,  ess: 3.368
(528s) phi_loss: -1190.117,  theta_loss: 1540.913,  ess: 3.383
(513s) phi_loss: -1190.139,  theta_loss: 1546.325,  ess: 3.386
(513s) phi_loss: -1188.844,  theta_loss: 1552.588,  ess: 3.387
(521s) phi_loss: -1188.053,  theta_loss: 1543.750,  ess: 3.386
(537s) phi_loss: -1186.865,  theta_loss: 1547.753,  ess: 3.396
(547s) phi_loss: -1186.039,  theta_loss: 1546.743,  ess: 3.398
(517s) phi_loss: -1182.395,  theta_loss: 1562.737,  ess: 3.403
(524s) phi_loss: -1183.354,  theta_loss: 1546.911,  ess: 3.405
(513s) phi_loss: -1181.847,  theta_loss: 1551.617,  ess: 3.410
(520s) phi_loss: -1179.473,  theta_loss: 1550.240,  ess: 3.409
(516s) phi_loss: -1179.229,  theta_loss: 1551.166,  ess: 3.416
(539s) phi_loss: -1177.908,  theta_loss: 1559.975,  ess: 3.417
(533s) phi_loss: -1174.822,  theta_loss: 1561.575,  ess: 3.425
(534s) phi_loss: -1175.004,  theta_loss: 1553.667,  ess: 3.428
(516s) phi_loss: -1173.678,  theta_loss: 1558.767,  ess: 3.429
(511s) phi_loss: -1172.787,  theta_loss: 1559.210,  ess: 3.434
(512s) phi_loss: -1170.307,  theta_loss: 1566.981,  ess: 3.432
(511s) phi_loss: -1167.084,  theta_loss: 1566.717,  ess: 3.439
(511s) phi_loss: -1166.807,  theta_loss: 1557.921,  ess: 3.441
(512s) phi_loss: -1166.556,  theta_loss: 1566.067,  ess: 3.440
(522s) phi_loss: -1164.333,  theta_loss: 1567.118,  ess: 3.446
(544s) phi_loss: -1163.130,  theta_loss: 1569.603,  ess: 3.448
(514s) phi_loss: -1160.372,  theta_loss: 1564.811,  ess: 3.450
(526s) phi_loss: -1157.862,  theta_loss: 1571.821,  ess: 3.456
(526s) phi_loss: -1157.634,  theta_loss: 1574.816,  ess: 3.453
(515s) phi_loss: -1156.770,  theta_loss: 1570.506,  ess: 3.458
(514s) phi_loss: -1155.794,  theta_loss: 1571.409,  ess: 3.459
(512s) phi_loss: -1154.546,  theta_loss: 1564.554,  ess: 3.460
(511s) phi_loss: -1152.897,  theta_loss: 1578.074,  ess: 3.465
(512s) phi_loss: -1151.170,  theta_loss: 1583.895,  ess: 3.464
(511s) phi_loss: -1151.836,  theta_loss: 1574.082,  ess: 3.470
(528s) phi_loss: -1148.416,  theta_loss: 1578.659,  ess: 3.472
(546s) phi_loss: -1148.100,  theta_loss: 1579.757,  ess: 3.472
(521s) phi_loss: -1146.378,  theta_loss: 1575.803,  ess: 3.477
(523s) phi_loss: -1144.471,  theta_loss: 1574.726,  ess: 3.477
(516s) phi_loss: -1143.348,  theta_loss: 1578.931,  ess: 3.480
(520s) phi_loss: -1141.393,  theta_loss: 1580.864,  ess: 3.483
(539s) phi_loss: -1140.577,  theta_loss: 1582.393,  ess: 3.482
(531s) phi_loss: -1140.115,  theta_loss: 1582.980,  ess: 3.483
(529s) phi_loss: -1138.317,  theta_loss: 1586.932,  ess: 3.486
(533s) phi_loss: -1137.894,  theta_loss: 1589.603,  ess: 3.485
(539s) phi_loss: -1136.517,  theta_loss: 1581.180,  ess: 3.491
(522s) phi_loss: -1135.736,  theta_loss: 1580.741,  ess: 3.494
(536s) phi_loss: -1134.320,  theta_loss: 1586.584,  ess: 3.496
(546s) phi_loss: -1132.293,  theta_loss: 1584.202,  ess: 3.501
(529s) phi_loss: -1131.668,  theta_loss: 1589.410,  ess: 3.496
(532s) phi_loss: -1129.993,  theta_loss: 1593.841,  ess: 3.497
(542s) phi_loss: -1128.708,  theta_loss: 1580.909,  ess: 3.505
(524s) phi_loss: -1127.767,  theta_loss: 1589.782,  ess: 3.504
(526s) phi_loss: -1126.548,  theta_loss: 1594.054,  ess: 3.510
(542s) phi_loss: -1124.949,  theta_loss: 1595.758,  ess: 3.510
(531s) phi_loss: -1123.894,  theta_loss: 1600.147,  ess: 3.510
(545s) phi_loss: -1122.827,  theta_loss: 1599.679,  ess: 3.516
(532s) phi_loss: -1122.086,  theta_loss: 1598.883,  ess: 3.513
(546s) phi_loss: -1121.781,  theta_loss: 1587.480,  ess: 3.517
(537s) phi_loss: -1121.050,  theta_loss: 1598.852,  ess: 3.522
(544s) phi_loss: -1120.180,  theta_loss: 1603.238,  ess: 3.520
(542s) phi_loss: -1119.003,  theta_loss: 1599.028,  ess: 3.525
(534s) phi_loss: -1118.328,  theta_loss: 1602.640,  ess: 3.528
(537s) phi_loss: -1116.431,  theta_loss: 1597.933,  ess: 3.527
(511s) phi_loss: -1116.584,  theta_loss: 1599.906,  ess: 3.531
(517s) phi_loss: -1113.911,  theta_loss: 1602.123,  ess: 3.532
(524s) phi_loss: -1114.387,  theta_loss: 1600.858,  ess: 3.535
(529s) phi_loss: -1112.754,  theta_loss: 1605.384,  ess: 3.534
(525s) phi_loss: -1112.623,  theta_loss: 1602.186,  ess: 3.538
(542s) phi_loss: -1111.120,  theta_loss: 1616.872,  ess: 3.539
(543s) phi_loss: -1110.354,  theta_loss: 1609.855,  ess: 3.541
(521s) phi_loss: -1108.085,  theta_loss: 1602.828,  ess: 3.543
(529s) phi_loss: -1107.488,  theta_loss: 1613.956,  ess: 3.543
(520s) phi_loss: -1107.426,  theta_loss: 1610.966,  ess: 3.542
(538s) phi_loss: -1108.299,  theta_loss: 1604.578,  ess: 3.548
(543s) phi_loss: -1105.425,  theta_loss: 1606.331,  ess: 3.551
(544s) phi_loss: -1104.893,  theta_loss: 1612.561,  ess: 3.551
(537s) phi_loss: -1105.268,  theta_loss: 1604.552,  ess: 3.555
(531s) phi_loss: -1103.824,  theta_loss: 1606.924,  ess: 3.555
(541s) phi_loss: -1101.786,  theta_loss: 1607.366,  ess: 3.557
(544s) phi_loss: -1100.623,  theta_loss: 1608.878,  ess: 3.557
(541s) phi_loss: -1101.374,  theta_loss: 1624.618,  ess: 3.558
(547s) phi_loss: -1099.061,  theta_loss: 1614.003,  ess: 3.565
(545s) phi_loss: -1099.104,  theta_loss: 1622.008,  ess: 3.562
(548s) phi_loss: -1098.651,  theta_loss: 1614.751,  ess: 3.566
(541s) phi_loss: -1095.891,  theta_loss: 1618.038,  ess: 3.565
(534s) phi_loss: -1096.820,  theta_loss: 1611.559,  ess: 3.571
(551s) phi_loss: -1094.901,  theta_loss: 1614.904,  ess: 3.571
(544s) phi_loss: -1094.449,  theta_loss: 1609.722,  ess: 3.570
(526s) phi_loss: -1094.513,  theta_loss: 1615.535,  ess: 3.572
(527s) phi_loss: -1094.954,  theta_loss: 1626.409,  ess: 3.574
(523s) phi_loss: -1093.093,  theta_loss: 1608.566,  ess: 3.575
(532s) phi_loss: -1092.770,  theta_loss: 1620.635,  ess: 3.579
(531s) phi_loss: -1092.574,  theta_loss: 1624.854,  ess: 3.577
(530s) phi_loss: -1090.528,  theta_loss: 1616.840,  ess: 3.583
(531s) phi_loss: -1091.548,  theta_loss: 1616.323,  ess: 3.585
(546s) phi_loss: -1089.589,  theta_loss: 1618.329,  ess: 3.584
(529s) phi_loss: -1088.737,  theta_loss: 1621.959,  ess: 3.583
(541s) phi_loss: -1087.099,  theta_loss: 1623.327,  ess: 3.592
(541s) phi_loss: -1087.295,  theta_loss: 1624.246,  ess: 3.589
(527s) phi_loss: -1085.733,  theta_loss: 1620.651,  ess: 3.590
(535s) phi_loss: -1086.001,  theta_loss: 1628.016,  ess: 3.591
(534s) phi_loss: -1085.820,  theta_loss: 1622.652,  ess: 3.595
(514s) phi_loss: -1085.159,  theta_loss: 1617.081,  ess: 3.597
(534s) phi_loss: -1083.612,  theta_loss: 1623.290,  ess: 3.596
(545s) phi_loss: -1083.324,  theta_loss: 1623.631,  ess: 3.598
(520s) phi_loss: -1081.564,  theta_loss: 1625.050,  ess: 3.601
(539s) phi_loss: -1082.191,  theta_loss: 1622.537,  ess: 3.602
(534s) phi_loss: -1081.983,  theta_loss: 1628.867,  ess: 3.604
(531s) phi_loss: -1081.282,  theta_loss: 1626.655,  ess: 3.606
(538s) phi_loss: -1080.435,  theta_loss: 1627.869,  ess: 3.607
(543s) phi_loss: -1078.468,  theta_loss: 1634.839,  ess: 3.612
(546s) phi_loss: -1079.084,  theta_loss: 1628.909,  ess: 3.609
(527s) phi_loss: -1078.193,  theta_loss: 1631.398,  ess: 3.611
(530s) phi_loss: -1076.585,  theta_loss: 1640.660,  ess: 3.614
(539s) phi_loss: -1076.309,  theta_loss: 1629.354,  ess: 3.615
(537s) phi_loss: -1076.291,  theta_loss: 1634.667,  ess: 3.617
(544s) phi_loss: -1074.931,  theta_loss: 1636.855,  ess: 3.620
(548s) phi_loss: -1074.724,  theta_loss: 1622.171,  ess: 3.619
(545s) phi_loss: -1072.439,  theta_loss: 1634.609,  ess: 3.619
(543s) phi_loss: -1074.425,  theta_loss: 1631.909,  ess: 3.620
(552s) phi_loss: -1072.295,  theta_loss: 1633.900,  ess: 3.624
(545s) phi_loss: -1071.135,  theta_loss: 1638.880,  ess: 3.625
(545s) phi_loss: -1070.322,  theta_loss: 1631.514,  ess: 3.627
(544s) phi_loss: -1070.838,  theta_loss: 1630.233,  ess: 3.625
(540s) phi_loss: -1072.357,  theta_loss: 1637.777,  ess: 3.627
(547s) phi_loss: -1069.977,  theta_loss: 1637.605,  ess: 3.634
(546s) phi_loss: -1066.849,  theta_loss: 1641.812,  ess: 3.632
(530s) phi_loss: -1066.567,  theta_loss: 1636.717,  ess: 3.631
(550s) phi_loss: -1067.108,  theta_loss: 1631.655,  ess: 3.634
(539s) phi_loss: -1066.060,  theta_loss: 1637.208,  ess: 3.633
(521s) phi_loss: -1067.830,  theta_loss: 1631.579,  ess: 3.635
(537s) phi_loss: -1065.181,  theta_loss: 1639.715,  ess: 3.638
