time:8962, inckl:25.590565
time:9000, inckl:31.275783
time:9039, inckl:21.191439
time:9078, inckl:25.956761
time:9117, inckl:25.402813
time:9155, inckl:26.533895
time:9194, inckl:25.361130
time:9233, inckl:25.792568
time:9272, inckl:25.413789
time:9311, inckl:22.776340
time:9349, inckl:21.179292
time:9388, inckl:27.032694
time:9427, inckl:29.634848
time:9465, inckl:26.581525
time:9504, inckl:24.187678
time:9543, inckl:28.880171
time:9581, inckl:28.349602
time:9620, inckl:25.236429
time:9659, inckl:31.787991
time:9698, inckl:30.033835
